Primary Type,Block,Location Description,Domestic,month,Period_1,Period_2
1,7261,50,0,7,0,1
1,5030,77,1,7,0,0
2,6711,17,1,7,0,1
1,13278,90,1,7,0,0
1,9,87,0,7,1,0
0,19998,90,0,7,0,0
0,1771,77,1,7,0,1
2,18803,77,0,7,0,1
2,14194,88,0,7,0,1
1,18092,93,0,7,0,1
1,8532,87,0,7,0,0
2,7307,69,0,7,0,1
2,11849,78,0,7,0,1
2,12592,78,0,7,0,1
1,1735,87,0,7,0,0
1,6844,15,0,7,0,1
1,14940,90,1,7,0,0
1,14438,69,0,7,0,1
1,10081,77,0,7,0,0
1,19583,87,0,7,0,1
0,11194,17,1,7,0,0
0,10116,90,1,7,0,0
0,10663,87,0,7,0,1
2,13300,88,0,7,0,0
1,15346,78,1,7,0,0
0,1964,90,0,7,0,1
1,5833,87,1,7,0,1
1,18316,87,0,7,0,1
2,3016,88,0,7,1,0
0,434,90,1,7,0,0
2,7462,90,0,7,0,1
2,19932,17,0,7,0,0
1,14578,87,1,7,0,0
2,19073,90,0,7,0,1
2,2015,81,0,7,0,1
1,876,61,1,7,0,0
1,5841,17,1,7,0,1
0,19884,17,0,7,0,0
1,4091,87,1,7,0,1
0,607,77,1,7,0,0
1,18029,17,1,7,0,1
2,4561,92,0,7,0,0
1,1026,17,1,7,0,0
2,19239,90,0,7,0,0
2,2002,77,1,7,0,0
1,15864,87,1,7,0,0
1,5960,17,1,7,0,0
1,14894,87,0,7,0,0
2,12761,17,0,7,1,0
1,21341,77,1,7,0,0
1,11599,87,1,7,0,0
1,21468,77,0,7,0,0
0,6515,78,1,7,0,0
1,22190,77,1,7,0,1
1,22765,80,1,7,0,0
1,22444,87,0,7,0,0
1,22921,80,0,7,0,0
1,4239,96,0,7,0,0
2,10121,17,0,7,0,0
1,9104,77,0,7,0,0
2,6843,89,0,7,0,1
1,9711,17,1,7,0,0
1,16384,78,0,7,0,0
0,21533,90,0,7,0,0
2,13769,96,0,7,0,0
2,2015,62,0,7,0,1
0,5037,87,0,7,0,0
2,10170,90,0,7,0,1
1,3019,87,1,7,0,0
2,1994,59,0,7,0,0
0,15402,90,0,7,0,0
0,7072,87,0,7,0,1
2,12087,72,0,7,0,1
1,2988,77,1,7,0,0
2,1994,59,0,7,0,1
1,10443,80,1,7,0,0
1,2411,87,0,7,0,0
1,18393,17,1,7,0,0
1,17439,87,0,7,0,0
2,121,22,0,7,0,0
1,15431,90,0,7,0,1
1,876,61,1,7,0,0
1,2483,72,0,7,0,0
1,1462,87,1,7,0,0
1,20081,90,0,7,0,0
1,17084,90,1,7,0,0
1,14961,77,1,7,0,0
0,7968,87,1,7,0,0
1,4261,90,0,7,0,0
2,20298,90,0,7,0,1
2,19829,77,0,7,0,0
2,10818,90,0,7,0,0
2,17152,90,0,7,0,0
1,19637,87,0,7,0,0
1,19865,87,1,7,0,0
2,20708,90,0,7,0,0
1,721,90,0,7,0,0
1,1463,89,1,7,0,0
1,13603,87,0,7,0,0
1,5111,77,1,7,0,0
2,21743,90,0,7,0,1
1,11802,17,1,7,0,0
2,1720,88,0,7,0,1
2,19702,17,0,7,0,1
