Primary Type,Latitude,Longitude
0,41.798719294,-87.67079216200001
1,41.882004711,-87.628792836
0,41.919679121,-87.726634619
0,41.906729124,-87.76084846100001
0,41.779451196,-87.635038395
1,41.981337327,-87.806945269
0,41.962948571,-87.732629372
0,41.781560138,-87.615660279
0,41.769654427,-87.66273699899999
1,41.709971739000004,-87.64291052899999
1,41.742710224,-87.63408818100001
0,41.792264444000004,-87.615914925
1,41.879475666,-87.650794179
1,41.883500186999996,-87.627876698
1,41.716695794,-87.562283334
0,41.904538325,-87.63294231299999
1,41.880362084,-87.75584743799999
1,41.736259984,-87.62806878200001
1,41.801355133,-87.64534127700001
0,41.798719294,-87.67079216200001
1,41.834011289,-87.635219909
0,41.766044062,-87.713770151
1,41.876705672,-87.75128680600001
1,41.884650262,-87.627915459
0,41.943444348,-87.73347044200001
0,41.877935594,-87.729067558
1,41.896714548,-87.625340136
0,41.876196845,-87.724082848
0,41.888526809,-87.72099826200001
1,41.867346388,-87.63216624399999
0,41.94243771,-87.805666424
1,41.884497529,-87.625838595
1,41.710457761,-87.623586086
0,41.810419014000004,-87.749345262
0,41.851560618,-87.723887245
0,41.88090842,-87.711736421
0,41.814963846,-87.672422267
0,41.904624012,-87.731280885
1,41.967560778,-87.65885995200001
0,41.841884968,-87.628543186
0,41.89665282,-87.767046737
0,41.861773772,-87.716506917
0,41.749403097,-87.665842866
1,41.883500186999996,-87.627876698
0,41.920472825,-87.69338473200001
0,41.861773772,-87.716506917
1,41.854344145,-87.719922244
0,41.814998711,-87.700543638
0,41.703471334,-87.62279868700001
1,41.767922363000004,-87.671182448
1,41.931559586999995,-87.744695152
0,41.776675328,-87.671426043
0,41.845737098,-87.73270678600001
1,41.854042505,-87.634458871
1,41.826159952,-87.62313513
1,41.819622584,-87.69702392
0,41.876396396,-87.63073443799999
0,41.772084852,-87.67298359899999
0,41.87671722,-87.75031731899999
0,41.933342907,-87.747832033
0,41.923259075,-87.70296588299999
0,41.7584326,-87.56004298799999
1,41.793121443000004,-87.732255805
0,41.798889417,-87.66227825799999
0,41.764900356999995,-87.66445798
0,41.773185756,-87.664049299
1,41.89804054,-87.62409132299999
1,41.884869667,-87.679840251
1,41.754635641,-87.55088962
0,41.805386885,-87.610112774
1,41.76384188,-87.690563342
1,41.891133566,-87.624134682
0,41.896772914,-87.62146443200001
0,41.748508547,-87.665386731
0,41.754165905,-87.65206113299999
0,41.777947847,-87.601611152
1,41.906027246,-87.642712439
0,41.877890606,-87.754973729
1,41.993552169000004,-87.808831085
1,41.89082387,-87.75055633
0,41.795444742,-87.622484174
0,41.773382411,-87.58221496899999
0,41.961554539,-87.753993469
1,41.955820212,-87.77809301299999
0,41.725733479,-87.556676705
0,41.828762286999996,-87.614436164
0,41.721105517,-87.62622351899999
0,41.699421945,-87.611110897
0,41.679090462,-87.62632125
0,41.692378887,-87.621046145
0,41.667975651999996,-87.63435946799999
0,41.903985504,-87.706825293
1,41.88100737,-87.70320506799999
0,41.931012669,-87.687862424
1,41.881348623,-87.674525788
0,41.935146723,-87.70994206600001
0,41.791685711,-87.654810301
1,41.938924589,-87.739801531
1,41.891199446,-87.624137626
1,41.939353805,-87.649248165
0,41.897210802,-87.69798431
1,41.890703830999996,-87.70640419
1,41.823551140999996,-87.676329349
0,41.895939932,-87.73103188299999
1,41.890703830999996,-87.70640419
0,41.940458074,-87.70765559799999
0,41.872831159,-87.725403571
0,41.77313817,-87.690804141
0,41.782548594,-87.654576655
1,41.885733129,-87.625505463
0,41.931391665,-87.757033797
0,41.896773836,-87.621170579
0,41.920064919,-87.64424028299999
0,41.834557405,-87.63431862
0,41.751275763,-87.566227001
