Primary Type,Block,Location Description,Domestic,month,day,Period_1,Period_2
2,3143,112,0,7,27,0,1
3,3403,55,0,7,26,0,1
1,7145,115,0,7,27,1,0
2,19074,115,0,7,27,0,1
3,4883,112,0,7,27,1,0
3,3684,55,0,7,26,1,0
3,2162,55,0,7,27,0,1
3,8027,113,0,7,27,0,1
3,5461,46,0,7,27,0,1
3,16547,115,0,7,26,0,0
3,752,23,0,7,27,0,1
3,8004,115,0,7,27,1,0
3,2146,115,0,7,27,1,0
3,16338,115,0,7,27,1,0
3,11346,115,0,7,26,0,1
1,1759,115,0,7,27,0,1
3,659,113,0,7,27,0,1
3,18469,100,0,7,27,0,1
2,11446,115,0,7,27,0,1
3,6394,115,0,7,27,0,1
3,16452,102,0,7,27,0,0
3,13319,115,0,7,27,0,1
3,916,52,0,7,27,0,1
3,103,104,0,7,27,0,1
2,11646,112,0,7,27,0,1
3,659,113,0,7,27,0,1
2,1574,115,0,7,27,0,1
1,15357,115,0,7,26,0,1
1,10216,100,0,7,26,0,1
1,4550,115,0,7,26,0,1
3,20032,115,0,7,26,0,1
3,9633,115,0,7,26,0,1
3,2252,115,0,7,26,0,1
3,17694,17,0,7,27,0,1
3,18038,112,0,7,27,0,1
3,6323,88,0,7,26,0,1
3,10367,104,0,7,27,0,1
3,643,113,0,7,27,0,1
3,7670,93,0,7,27,1,0
3,12954,115,0,7,27,1,0
3,639,115,0,7,27,0,1
3,5747,70,0,7,27,0,1
1,12614,115,0,7,27,1,0
3,5260,100,0,7,26,0,1
2,3718,115,0,7,27,0,1
3,12322,100,0,7,27,0,1
3,12906,100,0,7,26,0,0
3,251,91,0,7,26,1,0
3,14062,115,0,7,26,0,0
1,14882,93,0,7,27,0,1
1,19441,100,0,7,26,0,1
2,14588,103,0,7,27,0,1
3,10007,113,0,7,27,0,1
3,12832,55,0,7,27,0,1
3,2947,113,0,7,27,0,1
3,200,113,0,7,27,0,1
3,5402,113,0,7,27,0,1
2,611,88,0,7,27,0,1
1,287,103,0,7,26,0,0
1,12803,115,0,7,26,1,0
3,3800,104,0,7,27,0,0
2,5003,115,0,7,27,0,1
2,13987,101,0,7,27,0,1
3,16091,101,0,7,27,0,1
3,6842,113,0,7,27,0,0
1,5225,93,0,7,27,0,1
3,4581,43,0,7,27,0,1
3,16640,91,0,7,27,0,1
3,1066,69,0,7,27,0,1
3,6861,113,0,7,27,0,1
3,6098,91,0,7,27,0,0
2,13054,102,0,7,27,0,0
3,12918,112,0,7,27,0,1
2,12328,17,0,7,27,0,1
2,7105,112,0,7,27,0,0
1,5653,88,0,7,27,0,1
3,5150,100,0,7,27,1,0
3,17913,55,0,7,27,0,0
1,19729,100,0,7,27,0,1
3,3901,115,0,7,27,0,0
3,14716,88,0,7,27,0,1
2,2593,115,0,7,27,0,0
3,4647,91,0,7,27,0,0
3,3616,115,0,7,27,0,1
3,10747,70,0,7,27,0,0
3,19663,103,0,7,27,0,1
2,174,103,0,7,27,0,1
3,13850,115,0,7,27,0,0
2,2480,112,0,7,27,0,0
2,18488,112,0,7,27,0,0
2,10763,115,0,7,27,0,0
2,20751,100,0,7,27,0,1
3,6334,115,0,7,27,0,1
3,405,104,0,7,27,0,0
3,20863,34,0,7,27,0,0
2,18689,115,0,7,27,0,0
3,268,115,0,7,27,0,0
2,17379,15,0,7,27,0,0
3,6356,115,0,7,27,0,0
3,2539,76,0,7,27,0,1
3,13115,115,0,7,27,0,1
3,11309,115,0,7,27,0,0
3,12990,67,0,7,27,0,1
3,1156,104,0,7,27,0,1
3,10095,113,0,7,27,1,0
3,12922,93,0,7,27,1,0
3,2310,115,0,7,27,0,1
1,7052,115,0,7,27,0,1
3,16324,100,1,7,27,0,0
3,19077,123,0,7,27,0,1
1,6268,93,0,7,27,0,1
3,13216,115,0,7,27,0,0
3,3901,115,0,7,27,0,1
1,6591,115,0,7,27,0,0
3,7688,115,0,7,27,0,1
3,1813,17,0,7,27,0,0
3,17146,115,0,7,27,0,1
3,18682,115,0,7,27,0,0
3,1689,17,0,7,27,0,1
3,8164,115,0,7,27,0,1
3,5589,42,0,7,27,0,1
3,1871,115,1,7,27,0,0
3,10285,115,0,7,27,0,1
3,10512,42,0,7,27,0,1
3,18732,100,1,7,27,0,1
3,8882,115,0,7,27,1,0
3,15871,104,0,7,27,1,0
3,15130,115,0,7,27,0,1
3,14576,93,0,7,27,0,1
3,7682,93,0,7,27,0,1
3,16037,57,0,7,27,0,1
3,4598,35,0,7,26,0,1
1,8396,115,0,7,27,0,1
3,16025,57,0,7,26,0,1
3,2032,115,0,7,27,0,0
1,11747,115,0,7,27,0,0
3,6191,115,0,7,27,0,0
3,508,112,0,7,27,0,1
1,20107,115,0,7,27,0,0
3,18255,17,1,7,27,0,0
3,20188,103,0,7,27,0,0
3,6323,88,0,7,27,0,0
1,7596,93,0,7,27,0,0
3,1851,76,0,7,27,0,1
3,14296,112,0,7,27,1,0
3,17934,112,0,7,26,0,1
1,9040,93,0,7,27,0,1
3,11809,100,0,7,26,0,0
3,2802,52,0,7,27,0,0
3,2930,103,0,7,26,0,0
1,18592,100,0,7,27,0,0
3,6941,17,0,7,26,0,1
3,17525,115,0,7,26,0,1
3,12594,93,0,7,27,0,0
3,19089,88,0,7,26,0,1
