Primary Type,Location Description,Domestic,Latitude,Longitude,month,day,Period_1,Period_2
1,87,0,41.743628058,-87.707096798,7,27,0,0
1,82,0,41.997324088,-87.76142780299999,7,27,0,0
1,101,0,41.86993453,-87.715874069,7,27,0,1
1,101,0,41.891020029,-87.772873686,7,27,0,1
1,101,0,41.947854448,-87.79729564700001,7,27,0,1
1,90,0,41.89613294,-87.718773224,7,27,0,0
1,101,0,41.850637263,-87.721066125,7,26,0,0
1,82,0,41.872274452,-87.76458166399999,7,27,1,0
1,101,0,41.886472045,-87.757738821,7,26,1,0
1,101,0,41.950903208,-87.762001023,7,27,0,0
1,101,0,41.970650729,-87.758187744,7,26,0,1
1,57,0,,,7,26,0,0
1,101,0,41.791499883,-87.67666775100001,7,27,1,0
2,87,0,,,1,21,0,1
1,87,0,,,6,2,0,1
1,77,0,,,6,10,1,0
1,90,0,,,6,20,1,0
1,105,0,,,6,30,0,1
1,107,0,41.897302575,-87.714284525,7,22,0,1
0,101,0,41.883436982,-87.749059068,7,26,1,0
0,101,0,41.736414501,-87.54581652,7,27,0,0
0,17,0,41.769345528,-87.67432770399999,7,27,0,1
2,98,0,,,1,9,0,1
1,101,0,41.772952991,-87.571596016,7,26,0,0
1,101,0,41.697897106999996,-87.636159352,7,27,1,0
1,90,0,41.776752199,-87.66291236299999,7,27,1,0
2,98,0,,,1,6,0,1
1,101,0,41.736735674,-87.562421058,7,28,0,0
2,70,0,41.961948442,-87.63492076799999,7,28,0,0
2,98,0,41.83687788,-87.72474948600001,8,13,0,1
1,105,0,41.740649137,-87.637686734,7,28,0,0
1,90,0,41.75187331,-87.72471020100001,7,28,0,0
1,48,0,41.997576383,-87.754822019,7,28,0,0
2,87,0,41.892327066,-87.742374366,7,28,1,0
2,98,0,41.807147115999996,-87.744368256,7,28,1,0
2,98,0,41.900769272,-87.62691893200001,7,28,1,0
2,98,0,41.879807734,-87.721915072,7,28,1,0
2,98,0,41.88005957,-87.753540414,7,28,1,0
2,101,0,41.876930527,-87.738400016,7,28,1,0
2,101,0,41.712874071,-87.65376458200001,7,28,1,0
2,98,0,41.879776919,-87.724379329,7,28,1,0
1,101,0,41.952396547,-87.64503177,7,28,1,0
1,101,0,41.841942295,-87.708623615,7,28,0,0
2,98,0,41.897293095,-87.75076197899999,7,28,0,1
2,98,0,41.764221922,-87.684452865,7,28,0,1
