Primary Type,Location Description,Domestic,Latitude,Longitude,month,day,Period_1,Period_2
3,103,0,41.768428491,-87.674729321,7,26,0,0
3,113,0,41.754592961,-87.74152853700001,7,26,1,0
3,115,0,,,7,27,0,0
3,113,0,41.924406431,-87.733233575,7,26,0,1
3,91,0,41.95117425,-87.69816187,7,26,1,0
3,113,0,41.879519801,-87.68639063399999,7,26,0,1
3,118,0,41.976416368,-87.653750246,7,26,1,0
3,88,0,41.865583329,-87.619490306,7,26,1,0
3,88,0,41.868541914,-87.639235361,7,26,1,0
2,115,0,41.877268725,-87.678985024,7,26,1,0
3,103,0,41.694777351999996,-87.67391410299999,7,26,0,0
3,104,0,41.892485711,-87.627127745,7,26,1,0
2,15,0,41.878085803000005,-87.74157658,7,26,0,1
3,113,0,41.844324387,-87.718810515,7,26,1,0
2,91,0,41.990460631,-87.696244895,7,26,0,1
3,55,0,41.90971226,-87.73926766,7,26,0,1
3,115,1,41.874419317,-87.722157363,7,26,1,0
3,88,0,41.987384881,-87.843369092,7,26,0,1
3,41,0,41.9116839,-87.745917518,7,26,0,1
3,17,0,41.83786208,-87.70972750600001,7,26,1,0
3,58,0,41.880362084,-87.75584743799999,7,26,1,0
3,104,0,41.891004201,-87.63256498700001,7,26,1,0
3,55,0,41.900752739,-87.62780069899999,7,26,0,1
3,55,0,41.754592961,-87.74152853700001,7,26,0,1
3,103,0,41.894162849000004,-87.67285149799999,7,26,1,0
2,123,0,41.880186421,-87.76853246299999,7,26,0,1
1,114,0,41.685196414,-87.633012579,7,26,0,0
3,113,0,41.851988885,-87.689219118,7,26,0,1
1,115,0,41.855714115,-87.727268906,7,26,1,0
2,123,0,41.862516567,-87.72560407700001,7,26,0,1
3,112,0,41.889408164,-87.617616505,7,26,0,1
3,93,0,41.880898957,-87.61904812700001,7,26,1,0
1,115,0,41.809869322,-87.66134569399999,7,26,0,1
3,17,1,41.777955715,-87.605874912,7,26,0,1
3,88,0,41.891023035,-87.619141016,7,26,0,1
3,100,0,41.76480346,-87.62006238,7,26,1,0
3,115,0,41.974471958,-87.797591039,7,26,0,1
3,70,0,41.976851851999996,-87.654999693,7,26,0,1
3,113,0,41.751420646,-87.592486791,7,26,0,1
3,115,0,41.828209625,-87.60598503,7,26,0,1
3,15,0,41.999910093000004,-87.70092963100001,7,26,0,0
3,17,0,41.803400743000005,-87.619440072,7,26,1,0
3,115,0,41.876207070999996,-87.67664585799999,7,26,0,0
3,93,0,41.796942971,-87.684115567,7,26,0,1
3,110,0,41.840748121,-87.685269347,7,26,0,1
3,88,0,41.884335468,-87.61916408799999,7,26,0,1
3,50,0,41.816598679,-87.61911376299999,7,26,0,1
3,112,0,41.882504841,-87.626224129,7,26,0,1
2,115,0,41.884472570999996,-87.63205981,7,26,0,1
3,101,0,41.83786208,-87.70972750600001,7,26,0,1
3,112,0,41.882004711,-87.628792836,7,26,0,1
1,115,0,41.902243006999996,-87.69686180299999,7,26,0,1
2,112,0,41.866689176,-87.722752323,7,26,0,1
3,48,0,41.981337327,-87.806945269,7,26,0,0
2,91,0,41.961087942,-87.63556624,7,26,0,1
3,57,0,41.709971739000004,-87.64291052899999,7,26,1,0
3,55,0,41.742710224,-87.63408818100001,7,26,0,1
3,112,0,41.879475666,-87.650794179,7,26,0,1
3,113,0,41.883500186999996,-87.627876698,7,26,0,1
2,101,0,41.77029895,-87.62829358200001,7,26,0,1
3,17,0,41.716695794,-87.562283334,7,26,1,0
1,93,0,42.004262619,-87.81849677,7,26,1,0
3,58,0,41.880362084,-87.75584743799999,7,26,0,1
2,101,0,41.872636725,-87.71672926299999,7,26,0,1
3,70,0,41.736259984,-87.62806878200001,7,26,0,1
3,67,0,41.801355133,-87.64534127700001,7,26,0,1
3,91,0,41.834011289,-87.635219909,7,26,0,1
1,115,0,41.745901853,-87.71804236,7,26,0,1
3,115,1,41.876705672,-87.75128680600001,7,26,0,1
1,115,0,41.86842201,-87.686869683,7,26,0,0
3,55,0,41.884650262,-87.627915459,7,26,0,1
2,15,0,41.880713791999995,-87.726658171,7,26,0,1
1,115,0,41.935689452,-87.716431004,7,26,0,1
3,55,0,41.896714548,-87.625340136,7,26,0,1
2,115,0,41.895492469000004,-87.71296137,7,26,0,1
2,115,0,41.766735712,-87.66341620899999,7,26,0,1
3,113,0,41.867346388,-87.63216624399999,7,26,0,1
3,19,0,41.884497529,-87.625838595,7,26,0,1
3,100,0,41.710457761,-87.623586086,7,26,1,0
2,15,0,41.871730950999996,-87.71669758,7,26,0,1
2,112,0,41.806160616,-87.664905601,7,26,0,1
3,113,0,41.967560778,-87.65885995200001,7,26,0,1
2,112,0,41.881776037,-87.748387499,7,26,0,1
2,112,0,41.876190326999996,-87.724406034,7,26,0,1
2,115,0,41.808540186,-87.67158963799999,7,26,0,1
2,91,0,41.823042961999995,-87.68057571,7,26,0,1
2,115,0,41.90413492,-87.74922672299999,7,26,0,1
3,113,0,41.883500186999996,-87.627876698,7,26,0,1
