Primary Type,Block,Domestic
1,294,False
1,3192,False
0,15158,False
0,5094,False
1,19466,False
0,20279,True
1,19873,False
1,510,False
1,18991,True
1,1660,False
2,12212,False
1,20031,False
1,12681,False
2,2262,False
1,3681,True
0,20196,True
1,4820,False
2,4668,False
0,8960,False
1,20055,False
1,22405,True
1,4588,True
1,19235,False
1,12015,True
1,7918,True
2,17125,False
1,16877,True
1,9609,True
1,3618,False
1,10380,False
2,6906,False
1,3962,True
0,4323,True
1,16221,True
2,20166,False
1,20519,True
2,3617,False
0,10157,False
2,4987,False
2,16548,False
0,14981,False
0,9622,False
0,18337,False
0,16443,False
1,2963,True
1,12496,True
1,8750,False
2,14125,False
0,18330,False
2,2726,False
1,602,True
2,546,False
1,12582,True
2,8882,False
1,18472,True
1,18060,True
2,6552,False
0,2934,False
0,19211,False
1,14157,False
1,16848,False
1,10173,True
1,19010,False
2,746,False
2,18010,False
1,9218,True
0,6261,False
2,3827,False
2,6805,False
2,16068,False
1,11459,True
1,17620,True
2,170,False
0,12681,True
2,6065,False
1,11020,True
2,6071,False
2,3667,False
1,16686,False
0,10630,False
2,625,False
1,21863,False
0,22811,True
2,5474,False
2,14841,False
1,18082,True
2,14161,False
0,3980,False
1,12707,True
0,3847,False
2,10240,False
1,17845,True
0,4872,False
2,528,False
1,449,False
2,4029,False
2,2196,False
1,13251,False
2,4335,False
1,2911,True
0,11131,False
1,19071,False
1,8944,False
1,13446,False
1,18021,True
0,18545,False
0,15304,True
2,11404,False
0,1503,False
1,11694,False
2,4648,False
2,6432,False
2,16921,False
2,15651,False
1,17206,False
2,5032,False
2,20534,False
2,4143,False
1,10794,True
1,12602,False
2,3792,False
2,6071,False
2,12793,False
1,13905,True
0,11386,False
2,4634,False
2,1878,False
1,21168,False
2,629,False
2,10350,False
1,19199,True
2,7528,False
1,20805,False
2,5074,False
2,1011,False
1,15191,False
2,6425,False
2,3998,False
1,6129,False
2,556,False
1,4711,True
2,5770,True
2,20534,False
2,19789,False
2,18353,False
0,21202,False
2,15605,False
2,19678,False
2,659,False
2,17837,False
0,15383,False
1,12400,False
2,5191,False
1,9985,False
2,17888,False
2,14093,False
1,6480,False
2,4112,False
1,16644,True
1,10443,False
2,5734,False
2,1207,False
0,23020,True
2,11131,False
1,12227,True
0,11203,True
0,696,False
2,8109,False
2,12394,False
2,13990,False
1,1026,True
2,629,False
2,17837,False
1,11187,False
0,14490,True
0,3705,False
2,17759,False
0,15467,True
1,14165,False
1,18650,True
1,299,False
1,18478,True
1,3792,False
0,21378,False
1,6435,False
0,2210,False
0,10858,False
1,4629,True
1,6882,False
1,2005,True
0,18866,False
2,3133,False
2,15237,False
1,13388,False
2,19470,False
1,13894,True
1,16401,False
1,14587,True
1,16330,False
0,16961,False
1,19545,True
0,22515,True
2,19917,False
1,23103,True
0,19648,False
1,13587,False
2,2781,False
1,18395,False
1,7264,False
1,5402,False
2,629,False
2,629,False
1,8758,True
2,1586,False
0,16548,True
1,4641,True
0,18003,False
1,6409,False
1,17799,False
1,19911,True
1,449,True
1,19586,False
1,20998,True
0,10153,False
2,1264,False
1,19324,False
1,3220,False
2,8933,True
2,6353,False
2,21251,False
1,1684,False
1,22796,False
0,10153,False
1,22936,False
0,11989,False
0,20915,False
2,22368,False
2,21409,False
2,16228,False
2,17413,False
1,791,False
2,1122,False
2,5714,False
2,1264,False
2,15369,False
2,800,False
2,22131,False
2,16258,False
2,12182,False
2,1264,False
1,19305,False
2,6119,False
2,437,False
2,20747,False
2,2526,False
2,17301,False
0,7302,False
2,5672,False
0,13039,False
2,4362,False
1,22702,True
0,4880,True
2,17957,False
2,338,False
2,12963,False
2,12814,False
2,15218,False
2,6654,False
2,22337,False
2,2850,False
1,11561,True
1,22710,False
1,18650,True
2,13589,False
2,4611,False
2,1252,False
1,17796,True
2,14953,False
2,14199,False
1,11947,True
2,13272,False
1,16635,False
1,1207,False
0,5469,False
1,6417,True
2,3420,False
1,3792,False
2,544,False
2,338,False
2,21707,False
0,22515,False
2,3544,False
2,1733,False
0,4252,True
2,12676,False
2,16182,True
2,121,False
2,7261,False
2,874,False
2,13118,False
1,5727,False
2,6122,False
2,10233,False
2,14909,False
2,691,False
2,3391,False
2,5734,False
2,22269,False
2,11438,False
2,14695,False
2,19711,False
2,1264,False
2,1264,False
2,6667,False
2,14270,False
2,16979,True
2,407,False
2,884,False
1,3649,True
2,9536,False
2,12382,False
1,21795,True
2,17043,False
2,6205,False
2,14232,False
2,1473,False
2,20271,False
1,14535,True
2,10360,True
1,16618,False
0,6882,False
1,14929,True
1,17821,True
1,13590,True
0,9486,False
1,4998,False
1,9726,False
1,6428,False
2,12237,False
2,631,False
1,17005,False
2,1123,False
1,7597,False
2,1264,False
1,2747,False
1,1040,False
0,20447,False
1,2310,True
0,18738,False
1,19034,True
1,19728,False
1,20907,True
1,11494,False
2,14187,False
1,21832,True
1,1613,False
2,1331,False
1,5203,False
1,10213,True
1,4658,True
1,11699,True
1,19651,True
1,2634,True
1,3055,True
1,18919,False
0,10099,False
2,7087,False
1,1431,True
2,20950,False
2,1300,False
2,1852,False
1,6431,False
2,19951,False
1,11687,True
0,9565,False
0,252,False
1,11673,True
1,18672,False
1,20044,True
0,14562,False
1,222,True
1,19472,False
2,1312,False
2,14709,False
2,7930,False
2,8001,False
2,8376,False
1,2007,False
1,16064,True
1,4509,False
1,16684,True
1,19235,False
1,18049,False
1,3220,True
2,189,False
2,16325,False
2,696,False
2,22376,False
2,3915,False
2,18582,False
1,5409,True
1,4650,False
2,11438,False
2,82,False
2,21150,False
2,3994,False
1,2216,False
2,4212,False
1,2987,False
1,4021,True
1,5888,True
1,15906,True
1,15387,False
0,13746,False
0,7336,False
0,3851,False
1,21735,True
